Juego,Fecha,Jugada,N0,N1,N2,N3,N4,N5
1540,2/22/2017 9:00:00 PM,10-14-17-20-23-25,10,14,17,20,23,25
1541,2/25/2017 9:00:00 PM,01-15-21-24-28-29,1,15,21,24,28,29
1542,3/1/2017 9:00:00 PM,02-11-15-21-24-25,2,11,15,21,24,25
1543,3/4/2017 9:00:00 PM,01-05-07-14-26-31,1,5,7,14,26,31
1544,3/8/2017 9:00:00 PM,01-12-23-27-29-31,1,12,23,27,29,31
1545,3/11/2017 9:00:00 PM,05-11-16-22-26-28,5,11,16,22,26,28
1546,3/15/2017 9:00:00 PM,02-04-08-21-22-31,2,4,8,21,22,31
1547,3/18/2017 9:00:00 PM,18-19-25-27-28-29,18,19,25,27,28,29
1548,3/22/2017 9:00:00 PM,09-11-18-28-31-32,9,11,18,28,31,32
1549,3/25/2017 9:00:00 PM,01-04-06-13-20-21,1,4,6,13,20,21
1550,3/29/2017 9:00:00 PM,08-15-18-25-32-33,8,15,18,25,32,33
1551,4/1/2017 9:00:00 PM,03-11-14-18-23-33,3,11,14,18,23,33
1552,4/5/2017 9:00:00 PM,01-04-12-19-29-31,1,4,12,19,29,31
1553,4/8/2017 9:00:00 PM,03-04-09-12-23-30,3,4,9,12,23,30
1554,4/12/2017 9:00:00 PM,07-10-15-26-29-33,7,10,15,26,29,33
1555,4/15/2017 9:00:00 PM,02-04-05-09-17-21,2,4,5,9,17,21
1556,4/19/2017 9:00:00 PM,03-08-10-20-24-32,3,8,10,20,24,32
1557,4/22/2017 9:00:00 PM,09-12-14-18-19-31,9,12,14,18,19,31
1558,4/26/2017 9:00:00 PM,06-07-08-09-12-17,6,7,8,9,12,17
1559,4/29/2017 9:00:00 PM,04-09-13-16-17-20,4,9,13,16,17,20
1560,5/3/2017 9:00:00 PM,01-10-12-17-19-29,1,10,12,17,19,29
1561,5/6/2017 9:00:00 PM,02-11-16-19-26-28,2,11,16,19,26,28
1562,5/10/2017 9:00:00 PM,04-05-07-09-20-21,4,5,7,9,20,21
1563,5/13/2017 9:00:00 PM,02-05-10-13-19-27,2,5,10,13,19,27
